,train_acc,valid_acc,train_loss,valid_loss
0,0.15885416666666666,0.06506849315068493,3.5501207974221973,4.81402169188408
1,0.21788194444444445,0.09246575342465753,3.36351215839386,3.448505545315677
2,0.3029513888888889,0.3527397260273973,2.8029486669434442,2.611170951634237
3,0.3524305555555556,0.4828767123287671,2.6135577890608044,2.3938774539999765
4,0.4539930555555556,0.5924657534246576,2.410514665974511,2.2507435263019717
5,0.5416666666666666,0.5308219178082192,2.2602454821268716,2.290312998915372
6,0.5928819444444444,0.6506849315068494,2.148876518011093,2.1195092331873226
7,0.5989583333333334,0.678082191780822,2.1338369150956473,2.0919975221973575
8,0.6736111111111112,0.7226027397260274,2.0104821622371674,1.9937511404899702
9,0.6744791666666666,0.726027397260274,2.0182893872261047,1.9879029352371007
